,Nama,Waktu,Ulasan,Label,Cleaning,CaseFolding,slangword,Tokenizing,Stopword_Removal,Stemming,Full_Text_Stemmed
120,Iyog's Channel,2 tahun lalu,"Makanannya enak, rasa tidak kalah dengan warung sebelah, banyak pilihan menu selain menu Bebek, tempatnya juga bersih, enak untuk tempat makan bersama, tempatnya juga strategis dekat Suramadu dan di jalan utama,. Bisa menjadi alternatif untuk menghilangkan rasa lapar, jika ke pulau Madura",positif,Makanannya enak rasa tidak kalah dengan warung sebelah banyak pilihan menu selain menu Bebek tempatnya juga bersih enak untuk tempat makan bersama tempatnya juga strategis dekat Suramadu dan di jalan utama Bisa menjadi alternatif untuk menghilangkan rasa lapar jika ke pulau Madura,makanannya enak rasa tidak kalah dengan warung sebelah banyak pilihan menu selain menu bebek tempatnya juga bersih enak untuk tempat makan bersama tempatnya juga strategis dekat suramadu dan di jalan utama bisa menjadi alternatif untuk menghilangkan rasa lapar jika ke pulau madura,makanannya enak rasa tidak kalah dengan warung sebelah banyak pilihan menu selain menu bebek tempatnya juga bersih enak untuk tempat makan bersama tempatnya juga strategis dekat suramadu dan di jalan utama bisa menjadi alternatif untuk menghilangkan rasa lapar jika ke pulau madura,"['makanannya', 'enak', 'rasa', 'tidak', 'kalah', 'dengan', 'warung', 'sebelah', 'banyak', 'pilihan', 'menu', 'selain', 'menu', 'bebek', 'tempatnya', 'juga', 'bersih', 'enak', 'untuk', 'tempat', 'makan', 'bersama', 'tempatnya', 'juga', 'strategis', 'dekat', 'suramadu', 'dan', 'di', 'jalan', 'utama', 'bisa', 'menjadi', 'alternatif', 'untuk', 'menghilangkan', 'rasa', 'lapar', 'jika', 'ke', 'pulau', 'madura']","['makanannya', 'enak', 'kalah', 'warung', 'sebelah', 'pilihan', 'menu', 'menu', 'bebek', 'tempatnya', 'bersih', 'enak', 'makan', 'tempatnya', 'strategis', 'suramadu', 'jalan', 'utama', 'alternatif', 'menghilangkan', 'lapar', 'pulau', 'madura']","['makanannya', 'enak', 'kalah', 'warung', 'sebelah', 'pilihan', 'menu', 'menu', 'bebek', 'tempatnya', 'bersih', 'enak', 'makan', 'tempatnya', 'strategi', 'suramadu', 'jalan', 'utama', 'alternatif', 'menghilangkan', 'lapar', 'pulau', 'madura']",makanannya enak kalah warung sebelah pilihan menu menu bebek tempatnya bersih enak makan tempatnya strategi suramadu jalan utama alternatif menghilangkan lapar pulau madura
121,Andi Kuadrat,4 tahun lalu,"Bebeknya memukau, Senangnya pake banget bisa makan disini",positif,Bebeknya memukau Senangnya pake banget bisa makan disini,bebeknya memukau senangnya pake banget bisa makan disini,bebeknya memukau senangnya pake banget bisa makan disini,"['bebeknya', 'memukau', 'senangnya', 'pake', 'banget', 'bisa', 'makan', 'disini']","['bebeknya', 'memukau', 'senangnya', 'pake', 'banget', 'makan']","['bebeknya', 'memukau', 'senangnya', 'pake', 'banget', 'makan']",bebeknya memukau senangnya pake banget makan
122,Didit Doank,9 bulan lalu,Makanannya enak. Tapi Sayang kamar mandinya dan jalan menuju kamar mandinya KOTOR.😖 …,negatif,Makanannya enak Tapi Sayang kamar mandinya dan jalan menuju kamar mandinya KOTOR ,makanannya enak tapi sayang kamar mandinya dan jalan menuju kamar mandinya kotor ,makanannya enak tapi sayang kamar mandinya dan jalan menuju kamar mandinya kotor,"['makanannya', 'enak', 'tapi', 'sayang', 'kamar', 'mandinya', 'dan', 'jalan', 'menuju', 'kamar', 'mandinya', 'kotor']","['makanannya', 'enak', 'sayang', 'kamar', 'mandinya', 'jalan', 'kamar', 'mandinya', 'kotor']","['makanannya', 'enak', 'sayang', 'kamar', 'mandinya', 'jalan', 'kamar', 'mandinya', 'kotor']",makanannya enak sayang kamar mandinya jalan kamar mandinya kotor
123,Wakid Reng Paseser,3 tahun lalu,Tempatnya bagus dan pelayanannya cukup ramah.,netral,Tempatnya bagus dan pelayanannya cukup ramah ,tempatnya bagus dan pelayanannya cukup ramah ,tempatnya bagus dan pelayanannya cukup ramah,"['tempatnya', 'bagus', 'dan', 'pelayanannya', 'cukup', 'ramah']","['tempatnya', 'bagus', 'pelayanannya', 'ramah']","['tempatnya', 'bagu', 'pelayanannya', 'ramah']",tempatnya bagu pelayanannya ramah
124,Muhammad Irham,2 tahun lalu,"Cobain bebek bakar... mantaf...
Jangan pesan yg pedes.. gak kuat.",positif,Cobain bebek bakar mantaf Jangan pesan yg pedes gak kuat ,cobain bebek bakar mantaf jangan pesan yg pedes gak kuat ,cobain bebek bakar mantaf jangan pesan yg pedes gak kuat,"['cobain', 'bebek', 'bakar', 'mantaf', 'jangan', 'pesan', 'yg', 'pedes', 'gak', 'kuat']","['cobain', 'bebek', 'bakar', 'mantaf', 'pesan', 'pedes', 'gak', 'kuat']","['cobain', 'bebek', 'bakar', 'mantaf', 'pesan', 'pede', 'gak', 'kuat']",cobain bebek bakar mantaf pesan pede gak kuat
125,dedi mulyadi,9 bulan lalu,Makanan cukup enak.sesuai harga.pelayanan baik.tmpt bersih/nyamam,positif,Makanan cukup enak sesuai harga pelayanan baik tmpt bersih nyamam,makanan cukup enak sesuai harga pelayanan baik tmpt bersih nyamam,makanan cukup enak sesuai harga pelayanan baik tmpt bersih nyamam,"['makanan', 'cukup', 'enak', 'sesuai', 'harga', 'pelayanan', 'baik', 'tmpt', 'bersih', 'nyamam']","['makanan', 'enak', 'harga', 'pelayanan', 'tmpt', 'bersih', 'nyamam']","['makanan', 'enak', 'harga', 'pelayanan', 'tmpt', 'bersih', 'nyamam']",makanan enak harga pelayanan tmpt bersih nyamam
126,Hidayat Hadi,2 tahun lalu,Buat aku rasa makanan disini enak. Bebek bumbu sama bebek serundeng juga bebek kriuknya Enak.. Pelayannya juga ramah ramah... Sayang mereka tidak terlalu banyak jadi harap bersabar yah karena banyak yang harus mereka kerjakan sekaligus... …,positif,Buat aku rasa makanan disini enak Bebek bumbu sama bebek serundeng juga bebek kriuknya Enak Pelayannya juga ramah ramah Sayang mereka tidak terlalu banyak jadi harap bersabar yah karena banyak yang harus mereka kerjakan sekaligus ,buat aku rasa makanan disini enak bebek bumbu sama bebek serundeng juga bebek kriuknya enak pelayannya juga ramah ramah sayang mereka tidak terlalu banyak jadi harap bersabar yah karena banyak yang harus mereka kerjakan sekaligus ,buat aku rasa makanan disini enak bebek bumbu sama bebek serundeng juga bebek kriuknya enak pelayannya juga ramah ramah sayang mereka tidak terlalu banyak jadi harap bersabar yah karena banyak yang harus mereka kerjakan sekaligus,"['buat', 'aku', 'rasa', 'makanan', 'disini', 'enak', 'bebek', 'bumbu', 'sama', 'bebek', 'serundeng', 'juga', 'bebek', 'kriuknya', 'enak', 'pelayannya', 'juga', 'ramah', 'ramah', 'sayang', 'mereka', 'tidak', 'terlalu', 'banyak', 'jadi', 'harap', 'bersabar', 'yah', 'karena', 'banyak', 'yang', 'harus', 'mereka', 'kerjakan', 'sekaligus']","['makanan', 'enak', 'bebek', 'bumbu', 'bebek', 'serundeng', 'bebek', 'kriuknya', 'enak', 'pelayannya', 'ramah', 'ramah', 'sayang', 'harap', 'bersabar', 'yah', 'kerjakan']","['makanan', 'enak', 'bebek', 'bumbu', 'bebek', 'serundeng', 'bebek', 'kriuknya', 'enak', 'pelayannya', 'ramah', 'ramah', 'sayang', 'harap', 'bersabar', 'yah', 'kerjakan']",makanan enak bebek bumbu bebek serundeng bebek kriuknya enak pelayannya ramah ramah sayang harap bersabar yah kerjakan
127,Tang chanel,11 bulan lalu,"Makanannya enak, cuma di jeruk hangatnya terlalu panas, jadi tidak dapat langsung di minum",netral,Makanannya enak cuma di jeruk hangatnya terlalu panas jadi tidak dapat langsung di minum,makanannya enak cuma di jeruk hangatnya terlalu panas jadi tidak dapat langsung di minum,makanannya enak cuma di jeruk hangatnya terlalu panas jadi tidak dapat langsung di minum,"['makanannya', 'enak', 'cuma', 'di', 'jeruk', 'hangatnya', 'terlalu', 'panas', 'jadi', 'tidak', 'dapat', 'langsung', 'di', 'minum']","['makanannya', 'enak', 'jeruk', 'hangatnya', 'panas', 'minum']","['makanannya', 'enak', 'jeruk', 'hangatnya', 'pana', 'minum']",makanannya enak jeruk hangatnya pana minum
128,Wisma Kreatif,setahun lalu,"Daging bebeknya empuk, sambalnya mantab, tempatnya bersih",positif,Daging bebeknya empuk sambalnya mantab tempatnya bersih,daging bebeknya empuk sambalnya mantab tempatnya bersih,daging bebeknya empuk sambalnya mantab tempatnya bersih,"['daging', 'bebeknya', 'empuk', 'sambalnya', 'mantab', 'tempatnya', 'bersih']","['daging', 'bebeknya', 'empuk', 'sambalnya', 'mantab', 'tempatnya', 'bersih']","['dage', 'bebeknya', 'empuk', 'sambalnya', 'mantab', 'tempatnya', 'bersih']",dage bebeknya empuk sambalnya mantab tempatnya bersih
129,Tasya yasmine,3 tahun lalu,Rasa nya lumayan dan hrg nya standart,netral,Rasa nya lumayan dan hrg nya standart,rasa nya lumayan dan hrg nya standart,rasa nya lumayan dan hrg nya standart,"['rasa', 'nya', 'lumayan', 'dan', 'hrg', 'nya', 'standart']","['nya', 'lumayan', 'hrg', 'nya', 'standart']","['nya', 'lumayan', 'hrg', 'nya', 'standart']",nya lumayan hrg nya standart
130,RnT,4 tahun lalu,"Tempatnya luas dan selalu ramai. Tempat makan alternatif kalau datang dari luar Madura. Kamar mandinya di belakang banyak dan bersih. Mushola juga lumayan luas. Tempat parkir motor dan mobil juga luas. Lokasi sangat strategis, berada di …",positif,Tempatnya luas dan selalu ramai Tempat makan alternatif kalau datang dari luar Madura Kamar mandinya di belakang banyak dan bersih Mushola juga lumayan luas Tempat parkir motor dan mobil juga luas Lokasi sangat strategis berada di ,tempatnya luas dan selalu ramai tempat makan alternatif kalau datang dari luar madura kamar mandinya di belakang banyak dan bersih mushola juga lumayan luas tempat parkir motor dan mobil juga luas lokasi sangat strategis berada di ,tempatnya luas dan selalu ramai tempat makan alternatif kalau datang dari luar madura kamar mandinya di belakang banyak dan bersih mushola juga lumayan luas tempat parkir motor dan mobil juga luas lokasi sangat strategis berada di,"['tempatnya', 'luas', 'dan', 'selalu', 'ramai', 'tempat', 'makan', 'alternatif', 'kalau', 'datang', 'dari', 'luar', 'madura', 'kamar', 'mandinya', 'di', 'belakang', 'banyak', 'dan', 'bersih', 'mushola', 'juga', 'lumayan', 'luas', 'tempat', 'parkir', 'motor', 'dan', 'mobil', 'juga', 'luas', 'lokasi', 'sangat', 'strategis', 'berada', 'di']","['tempatnya', 'luas', 'ramai', 'makan', 'alternatif', 'madura', 'kamar', 'mandinya', 'bersih', 'mushola', 'lumayan', 'luas', 'parkir', 'motor', 'mobil', 'luas', 'lokasi', 'strategis']","['tempatnya', 'lua', 'ramai', 'makan', 'alternatif', 'madura', 'kamar', 'mandinya', 'bersih', 'mushola', 'lumayan', 'lua', 'parkir', 'motor', 'mobil', 'lua', 'lokasi', 'strategi']",tempatnya lua ramai makan alternatif madura kamar mandinya bersih mushola lumayan lua parkir motor mobil lua lokasi strategi
131,irul choi,11 bulan lalu,Kapok dech.... Order paling awal tp d layani belakang.... Karyawan terbatas jg.... Nunggu lama....,negatif,Kapok dech Order paling awal tp layani belakang Karyawan terbatas jg Nunggu lama ,kapok dech order paling awal tp layani belakang karyawan terbatas jg nunggu lama ,kapok dech order paling awal tp layani belakang karyawan terbatas jg nunggu lama,"['kapok', 'dech', 'order', 'paling', 'awal', 'tp', 'layani', 'belakang', 'karyawan', 'terbatas', 'jg', 'nunggu', 'lama']","['kapok', 'dech', 'order', 'tp', 'layani', 'karyawan', 'terbatas', 'jg', 'nunggu']","['kapok', 'dech', 'order', 'tp', 'layani', 'karyawan', 'terbata', 'jg', 'nunggu']",kapok dech order tp layani karyawan terbata jg nunggu
132,Musyfiq Vlog,6 bulan lalu,Oke. Cuma kalo pesen nasgor sedikit lama.,netral,Oke Cuma kalo pesen nasgor sedikit lama ,oke cuma kalo pesen nasgor sedikit lama ,oke cuma kalo pesen nasgor sedikit lama,"['oke', 'cuma', 'kalo', 'pesen', 'nasgor', 'sedikit', 'lama']","['oke', 'kalo', 'pesen', 'nasgor']","['oke', 'kalo', 'pesen', 'nasgor']",oke kalo pesen nasgor
133,Irvan syah,4 tahun lalu,"bebek terlalu kering. sambal enak sambal pencit. harga standar terjangkau
.
. …",netral,bebek terlalu kering sambal enak sambal pencit harga standar terjangkau ,bebek terlalu kering sambal enak sambal pencit harga standar terjangkau ,bebek terlalu kering sambal enak sambal pencit harga standar terjangkau,"['bebek', 'terlalu', 'kering', 'sambal', 'enak', 'sambal', 'pencit', 'harga', 'standar', 'terjangkau']","['bebek', 'kering', 'sambal', 'enak', 'sambal', 'pencit', 'harga', 'standar', 'terjangkau']","['bebek', 'kere', 'sambal', 'enak', 'sambal', 'pencit', 'harga', 'standar', 'terjangkau']",bebek kere sambal enak sambal pencit harga standar terjangkau
134,Ghofur Mubarok,7 bulan lalu,Yang minat pallet plastik bisa langsung hubungin kontak,netral,Yang minat pallet plastik bisa langsung hubungin kontak,yang minat pallet plastik bisa langsung hubungin kontak,yang minat pallet plastik bisa langsung hubungin kontak,"['yang', 'minat', 'pallet', 'plastik', 'bisa', 'langsung', 'hubungin', 'kontak']","['minat', 'pallet', 'plastik', 'hubungin', 'kontak']","['minat', 'pallet', 'plastik', 'hubungin', 'kontak']",minat pallet plastik hubungin kontak
135,Rangga Asmara,2 tahun lalu,Tempat yang bersih dan juga pelayanan yang ramah dan memuaskan,positif,Tempat yang bersih dan juga pelayanan yang ramah dan memuaskan,tempat yang bersih dan juga pelayanan yang ramah dan memuaskan,tempat yang bersih dan juga pelayanan yang ramah dan memuaskan,"['tempat', 'yang', 'bersih', 'dan', 'juga', 'pelayanan', 'yang', 'ramah', 'dan', 'memuaskan']","['bersih', 'pelayanan', 'ramah', 'memuaskan']","['bersih', 'pelayanan', 'ramah', 'memuaskan']",bersih pelayanan ramah memuaskan
136,Cak Fahmi Tibyan,7 bulan lalu,Harga masih wajar cuman untuk ayam bakarnya ukuran kecil,netral,Harga masih wajar cuman untuk ayam bakarnya ukuran kecil,harga masih wajar cuman untuk ayam bakarnya ukuran kecil,harga masih wajar cuman untuk ayam bakarnya ukuran kecil,"['harga', 'masih', 'wajar', 'cuman', 'untuk', 'ayam', 'bakarnya', 'ukuran', 'kecil']","['harga', 'wajar', 'cuman', 'ayam', 'bakarnya', 'ukuran']","['harga', 'wajar', 'cuman', 'ayam', 'bakarnya', 'ukuran']",harga wajar cuman ayam bakarnya ukuran
137,noer hasan,11 bulan lalu,"Ada masukan dari saya, tolong dong bebeknya jangan terlalu muda, kadang gak enak.",netral,Ada masukan dari saya tolong dong bebeknya jangan terlalu muda kadang gak enak ,ada masukan dari saya tolong dong bebeknya jangan terlalu muda kadang gak enak ,ada masukan dari saya tolong dong bebeknya jangan terlalu muda kadang gak enak,"['ada', 'masukan', 'dari', 'saya', 'tolong', 'dong', 'bebeknya', 'jangan', 'terlalu', 'muda', 'kadang', 'gak', 'enak']","['masukan', 'bebeknya', 'muda', 'kadang', 'gak', 'enak']","['masukan', 'bebeknya', 'muda', 'kadang', 'gak', 'enak']",masukan bebeknya muda kadang gak enak
138,anass mohammed,4 tahun lalu,"Kuliner yg satu ini cukup populer bagi masyarakat kota Bangkalan setelah bebek sinjay. Krn selain rasanya yg tak kalah dgn pesaingnya, tempatnya jg sangat pas bagi para pnikmat yg ingin mnyantap menu bebek goreng dgn sambal pencit ya sambil …",positif,Kuliner yg satu ini cukup populer bagi masyarakat kota Bangkalan setelah bebek sinjay Krn selain rasanya yg tak kalah dgn pesaingnya tempatnya jg sangat pas bagi para pnikmat yg ingin mnyantap menu bebek goreng dgn sambal pencit ya sambil ,kuliner yg satu ini cukup populer bagi masyarakat kota bangkalan setelah bebek sinjay krn selain rasanya yg tak kalah dgn pesaingnya tempatnya jg sangat pas bagi para pnikmat yg ingin mnyantap menu bebek goreng dgn sambal pencit ya sambil ,kuliner yg satu ini cukup populer bagi masyarakat kota bangkalan setelah bebek sinjay krn selain rasanya yg tak kalah dgn pesaingnya tempatnya jg sangat pas bagi para pnikmat yg ingin mnyantap menu bebek goreng dgn sambal pencit ya sambil,"['kuliner', 'yg', 'satu', 'ini', 'cukup', 'populer', 'bagi', 'masyarakat', 'kota', 'bangkalan', 'setelah', 'bebek', 'sinjay', 'krn', 'selain', 'rasanya', 'yg', 'tak', 'kalah', 'dgn', 'pesaingnya', 'tempatnya', 'jg', 'sangat', 'pas', 'bagi', 'para', 'pnikmat', 'yg', 'ingin', 'mnyantap', 'menu', 'bebek', 'goreng', 'dgn', 'sambal', 'pencit', 'ya', 'sambil']","['kuliner', 'populer', 'masyarakat', 'kota', 'bangkalan', 'bebek', 'sinjay', 'krn', 'kalah', 'dgn', 'pesaingnya', 'tempatnya', 'jg', 'pas', 'pnikmat', 'mnyantap', 'menu', 'bebek', 'goreng', 'dgn', 'sambal', 'pencit']","['kulin', 'popul', 'masyarakat', 'kota', 'bangkalan', 'bebek', 'sinjay', 'krn', 'kalah', 'dgn', 'pesaingnya', 'tempatnya', 'jg', 'pa', 'pnikmat', 'mnyantap', 'menu', 'bebek', 'goreng', 'dgn', 'sambal', 'pencit']",kulin popul masyarakat kota bangkalan bebek sinjay krn kalah dgn pesaingnya tempatnya jg pa pnikmat mnyantap menu bebek goreng dgn sambal pencit
139,Dodik Sh,9 bulan lalu,"Menu tidak lengkap
Pesan bebek paha malah di kasih leher
Pelayan tidak ramah",negatif,Menu tidak lengkap Pesan bebek paha malah di kasih leher Pelayan tidak ramah,menu tidak lengkap pesan bebek paha malah di kasih leher pelayan tidak ramah,menu tidak lengkap pesan bebek paha malah di kasih leher pelayan tidak ramah,"['menu', 'tidak', 'lengkap', 'pesan', 'bebek', 'paha', 'malah', 'di', 'kasih', 'leher', 'pelayan', 'tidak', 'ramah']","['menu', 'lengkap', 'pesan', 'bebek', 'paha', 'kasih', 'leher', 'pelayan', 'ramah']","['menu', 'lengkap', 'pesan', 'bebek', 'paha', 'kasih', 'leher', 'pelayan', 'ramah']",menu lengkap pesan bebek paha kasih leher pelayan ramah
140,Setiawan,2 tahun lalu,"Rumah makan yang sangat popuker dengan masakannya..
Mudah ditemukan dan terlihat dari jakan raya..
Suasana di dalam sangat luas dan nyaman. …",positif,Rumah makan yang sangat popuker dengan masakannya Mudah ditemukan dan terlihat dari jakan raya Suasana di dalam sangat luas dan nyaman ,rumah makan yang sangat popuker dengan masakannya mudah ditemukan dan terlihat dari jakan raya suasana di dalam sangat luas dan nyaman ,rumah makan yang sangat popuker dengan masakannya mudah ditemukan dan terlihat dari jakan raya suasana di dalam sangat luas dan nyaman,"['rumah', 'makan', 'yang', 'sangat', 'popuker', 'dengan', 'masakannya', 'mudah', 'ditemukan', 'dan', 'terlihat', 'dari', 'jakan', 'raya', 'suasana', 'di', 'dalam', 'sangat', 'luas', 'dan', 'nyaman']","['rumah', 'makan', 'popuker', 'masakannya', 'mudah', 'jakan', 'raya', 'suasana', 'luas', 'nyaman']","['rumah', 'makan', 'popuk', 'masakannya', 'mudah', 'jakan', 'raya', 'suasana', 'lua', 'nyaman']",rumah makan popuk masakannya mudah jakan raya suasana lua nyaman
141,Sayutina P.,7 bulan lalu,Bebek gorengnya enak. Kebersihan saja perlu ditingkatkan.,netral,Bebek gorengnya enak Kebersihan saja perlu ditingkatkan ,bebek gorengnya enak kebersihan saja perlu ditingkatkan ,bebek gorengnya enak kebersihan saja perlu ditingkatkan,"['bebek', 'gorengnya', 'enak', 'kebersihan', 'saja', 'perlu', 'ditingkatkan']","['bebek', 'gorengnya', 'enak', 'kebersihan', 'ditingkatkan']","['bebek', 'gorengnya', 'enak', 'kebersihan', 'ditingkatkan']",bebek gorengnya enak kebersihan ditingkatkan
142,anjib effendy,2 tahun lalu,"Lumayan enak, tempat nya jg nyaman.
Tapi sayang air di toilet tidak baik alias g keluar. Rusak.
Perlu dibenahi agar memuaskan dan kenyamanan pelanggan nya",netral,Lumayan enak tempat nya jg nyaman Tapi sayang air di toilet tidak baik alias keluar Rusak Perlu dibenahi agar memuaskan dan kenyamanan pelanggan nya,lumayan enak tempat nya jg nyaman tapi sayang air di toilet tidak baik alias keluar rusak perlu dibenahi agar memuaskan dan kenyamanan pelanggan nya,lumayan enak tempat nya jg nyaman tapi sayang air di toilet tidak baik alias keluar rusak perlu dibenahi agar memuaskan dan kenyamanan pelanggan nya,"['lumayan', 'enak', 'tempat', 'nya', 'jg', 'nyaman', 'tapi', 'sayang', 'air', 'di', 'toilet', 'tidak', 'baik', 'alias', 'keluar', 'rusak', 'perlu', 'dibenahi', 'agar', 'memuaskan', 'dan', 'kenyamanan', 'pelanggan', 'nya']","['lumayan', 'enak', 'nya', 'jg', 'nyaman', 'sayang', 'air', 'toilet', 'alias', 'rusak', 'dibenahi', 'memuaskan', 'kenyamanan', 'pelanggan', 'nya']","['lumayan', 'enak', 'nya', 'jg', 'nyaman', 'sayang', 'air', 'toilet', 'alia', 'rusak', 'dibenahi', 'memuaskan', 'kenyamanan', 'pelanggan', 'nya']",lumayan enak nya jg nyaman sayang air toilet alia rusak dibenahi memuaskan kenyamanan pelanggan nya
